time,open,high,low,close,tick_volume,spread,real_volume
2024-07-08 12:39:00+00:00,104.525,104.525,104.52,104.52,17.0,22,0.0
2024-07-08 12:40:00+00:00,104.52,104.52,104.52,104.52,1.0,22,0.0
2024-07-08 12:41:00+00:00,104.525,104.525,104.525,104.525,1.0,22,0.0
2024-07-08 12:42:00+00:00,104.525,104.525,104.525,104.525,12.0,22,0.0
2024-07-08 12:43:00+00:00,104.52,104.52,104.515,104.515,2.0,22,0.0
2024-07-08 12:44:00+00:00,104.515,104.515,104.51,104.515,16.0,22,0.0
2024-07-08 12:45:00+00:00,104.515,104.515,104.505,104.51,33.0,22,0.0
2024-07-08 12:46:00+00:00,104.515,104.515,104.515,104.515,1.0,22,0.0
2024-07-08 12:47:00+00:00,104.515,104.52,104.515,104.515,11.0,22,0.0
2024-07-08 12:48:00+00:00,104.52,104.52,104.51,104.515,6.0,22,0.0
2024-07-08 12:49:00+00:00,104.515,104.515,104.51,104.51,4.0,22,0.0
2024-07-08 12:50:00+00:00,104.515,104.515,104.505,104.505,32.0,22,0.0
2024-07-08 12:51:00+00:00,104.505,104.51,104.495,104.51,45.0,22,0.0
2024-07-08 12:52:00+00:00,104.51,104.51,104.51,104.51,4.0,22,0.0
2024-07-08 12:53:00+00:00,104.505,104.505,104.505,104.505,2.0,22,0.0
2024-07-08 12:54:00+00:00,104.515,104.515,104.515,104.515,2.0,22,0.0
2024-07-08 12:55:00+00:00,104.505,104.505,104.505,104.505,2.0,22,0.0
2024-07-08 12:56:00+00:00,104.505,104.505,104.5,104.5,3.0,22,0.0
2024-07-08 12:57:00+00:00,104.5,104.51,104.495,104.495,20.0,22,0.0
2024-07-08 12:58:00+00:00,104.49,104.49,104.485,104.485,25.0,22,0.0
2024-07-08 12:59:00+00:00,104.49,104.49,104.49,104.49,5.0,22,0.0
2024-07-08 13:00:00+00:00,104.485,104.495,104.485,104.495,24.0,22,0.0
2024-07-08 13:01:00+00:00,104.495,104.495,104.485,104.49,12.0,22,0.0
2024-07-08 13:02:00+00:00,104.49,104.49,104.49,104.49,1.0,22,0.0
2024-07-08 13:03:00+00:00,104.48,104.48,104.475,104.48,11.0,22,0.0
2024-07-08 13:04:00+00:00,104.48,104.48,104.475,104.48,35.0,22,0.0
2024-07-08 13:05:00+00:00,104.485,104.49,104.485,104.49,4.0,22,0.0
2024-07-08 13:06:00+00:00,104.485,104.49,104.485,104.49,30.0,22,0.0
2024-07-08 13:07:00+00:00,104.495,104.495,104.495,104.495,29.0,22,0.0
2024-07-08 13:08:00+00:00,104.495,104.515,104.495,104.515,50.0,22,0.0
2024-07-08 13:09:00+00:00,104.515,104.515,104.5,104.5,21.0,22,0.0
2024-07-08 13:10:00+00:00,104.495,104.505,104.495,104.505,3.0,22,0.0
2024-07-08 13:11:00+00:00,104.505,104.505,104.495,104.495,6.0,22,0.0
2024-07-08 13:12:00+00:00,104.495,104.5,104.495,104.495,3.0,22,0.0
2024-07-08 13:13:00+00:00,104.49,104.495,104.49,104.49,30.0,22,0.0
2024-07-08 13:14:00+00:00,104.49,104.49,104.485,104.485,4.0,22,0.0
2024-07-08 13:15:00+00:00,104.48,104.485,104.48,104.48,8.0,22,0.0
2024-07-08 13:16:00+00:00,104.49,104.49,104.485,104.485,5.0,22,0.0
2024-07-08 13:17:00+00:00,104.48,104.48,104.48,104.48,5.0,22,0.0
2024-07-08 13:18:00+00:00,104.495,104.5,104.49,104.49,69.0,22,0.0
2024-07-08 13:19:00+00:00,104.49,104.49,104.49,104.49,1.0,22,0.0
2024-07-08 13:20:00+00:00,104.495,104.5,104.495,104.5,213.0,22,0.0
2024-07-08 13:21:00+00:00,104.5,104.5,104.49,104.49,35.0,22,0.0
2024-07-08 13:22:00+00:00,104.49,104.49,104.48,104.48,19.0,22,0.0
2024-07-08 13:23:00+00:00,104.48,104.48,104.48,104.48,20.0,22,0.0
2024-07-08 13:24:00+00:00,104.485,104.49,104.485,104.49,12.0,22,0.0
2024-07-08 13:25:00+00:00,104.485,104.49,104.485,104.49,2.0,22,0.0
2024-07-08 13:26:00+00:00,104.495,104.495,104.49,104.49,14.0,22,0.0
2024-07-08 13:27:00+00:00,104.495,104.5,104.49,104.5,34.0,22,0.0
2024-07-08 13:28:00+00:00,104.495,104.5,104.49,104.495,15.0,22,0.0
2024-07-08 13:29:00+00:00,104.495,104.495,104.49,104.495,11.0,22,0.0
2024-07-08 13:30:00+00:00,104.49,104.49,104.48,104.485,14.0,22,0.0
2024-07-08 13:31:00+00:00,104.485,104.485,104.475,104.485,30.0,22,0.0
2024-07-08 13:32:00+00:00,104.485,104.49,104.48,104.49,50.0,22,0.0
2024-07-08 13:33:00+00:00,104.495,104.495,104.48,104.48,18.0,22,0.0
2024-07-08 13:34:00+00:00,104.48,104.48,104.475,104.475,11.0,22,0.0
